name,description,price,page proudct url,product_cat,nots,FOR,brand,user,type
ZENO - زينو,"عطر ZENO هو عطر شرقي خشبي للرجال، يجمع بين الانتعاش والدفء. يبدأ العطر بنفحات من البرغموت والنعناع، ثم ينتقل إلى قلب من الزنجبيل والقرفة، ويستقر في النهاية على قاعدة غنية من خشب الجاياك والأمبروكسان، ليخلق تجربة عطرية غنية وجذابة. هذا العطر مستوحى من ""IMAGINATION BY L.V"".",4650,https://val-mira.com/product/zeno/,أثينا|الكل|عطور شرقية|عطور حمضية|عطور فواحة|عطور رجالي|عطور للجنسين,"الأمبروكسان، الشاي، خشب الغاياك  النيرولي، الزنجبيل، القرفة   السترون، برغموت كالابريا، النعناع",صيفي,Athena - أثينا,unisex,منعش
ROSE ANANDA - أناندا,عطر ROSE ANANDA هو عطر زهري فاخر يعكس الأنوثة والجاذبية بتركيبته الغنية التي تجمع بين لمسات الفواكه والورد يبدأ بانتعاش التوت والرمان ثم يتطور ليكشف عن قلب زهري دافئ من الورد والفانيليا ويختتم بقاعدة ناعمة من المسك الأبيض مما يخلق تجربة عطرية ساحرة و عميقة,1500,https://val-mira.com/product/rose-ananda/,أثينا|الكل|عطور نسائية,,صيفي - شتوي,Athena - أثينا,woman,منعش
ATHENA - أثينا,"عطر ATHENA هو عطر فاخر يعكس القوة والجمال بأسلوب أنيق يبدأ بنفحات منعشة من الحمضيات تليها لمسات دافئة من الأزهار والأخشاب مما يخلق توازنًا مثاليًا بين الانتعاش والعمق، ليمنحك تجربة عطرية تعبر عن الفخامة والجاذبية",4650,https://val-mira.com/product/athena/,أثينا|الكل|عطور رجالي,"لبرغموت، الأمريس، الأرتيميسيا، الورد، الهيل، الكمون، الزعفران، خشب الأرز، خشب الصندل، خشب الغاياك، العرعر، السيبريول، الغورجوم، الباتشولي، البخور، الستيراكس، البنزوين",شتوي,Athena - أثينا,man,خشبي شرقي
TREVI - تريفي,عطر TREVI هو عطر فاخر ينبض بالأناقة والجاذبية حيث يجسد توازنًا مثاليًا بين الانتعاش والعمق يبدأ برائحة منعشة تثير الحواس ثم يتحول ليكشف عن قلب غني ومعقد يعكس الفخامة والترف مع كل لمسة يترك هذا العطر انطباعًا قويًا ويعكس شخصية متميزة تبحث عن التميز في كل تفاصيلة,4650,https://val-mira.com/product/trevi/,أثينا|الكل|عطور شرقية|عطور زهرية|عطور فواحة|عطور رجالي,"الجريب فروت والبرغموت، الجلبانوم، زنبق الوادي، الورد، الياسمين، التفاح، الفلفل الوردي، نفحات خشبية، البنزوين، الفانيليا، اللابدانوم، العنبر، والمسك",صيفي,Athena - أثينا,man,منعش
SMOKEY PLUM - سموكي بلوم,"عطر SMOKEY PLUM هو مزيج ساحر يجمع بين الغموض والفخامة، ويقدم تجربة عطرية لا تُنسى. يوازن العطر بشكل فريد بين الحسية والقوة، حيث يبدأ بلمسات ناعمة وجذابة، ثم يتطور إلى قلب غني بالسحر، ويستقر على قاعدة دافئة ومغرية تضفي عليه طابعًا راقيًا. إنه عطر يعبر عن الشخصية الجريئة والأنيقة، وهو مثالي لمن يبحث عن حضور استثنائي. هذا العطر مستوحى من ""TF Plum Japonais"".",1250,https://val-mira.com/product/smokey-plum/,أثينا|الكل|عطور رجالي|عطور للجنسين,بأنه خوخ مدخن وعصيري يستقر على رائحة قرفة وخوخ.,شتوي,Athena - أثينا,man,تبغي
LAIUS - لايوس,"عطر LAIUS هو انعكاس للأناقة العصرية المليئة بالغموض والجاذبية. يأخذك في رحلة ساحرة تبدأ بنفحات آسرة ومبهرة، ثم يكشف عن قلب راقٍ ينبض بالفخامة والتألق. يستقر العطر على قاعدة دافئة وغنية تترك أثراً خفياً لا يُنسى. إنه عطر يجسد التميز، وهو مثالي لمن يبحث عن حضور قوي وساحر يعكس شخصية واثقة ومتألقة. هذا العطر مستوحى من
",4650,https://val-mira.com/product/laius/,أثينا|الكل|عطور رجالي|عطور للجنسين,,شتوي,Athena - أثينا,man,تبغي
SHAMS DUBAI - شمس دبي,"عطر SHAMS DUBAI هو تجسيد للطاقة والحيوية، مستوحى من جمال مدينة دبي. يجمع هذا العطر بين النوتات الزهرية ولمسات من التوابل الشرقية، ليخلق تناغماً رائعاً بين الانتعاش والدفء ويترك أثراً يلامس الحواس. إنه يمثل الفخامة والحداثة، ويمنح شعوراً بالقوة والثقة في كل لحظة. هذا العطر مستوحى من ""Vanilla Barka Amouage"".",4650,https://val-mira.com/product/shams-dubai/,أثينا|الكل|عطور رجالي|عطور للجنسين|عطور نسائية,,شتوي صيفي,Athena - أثينا,unisex,حلو
GLORY OF JEDDAH - جالوري أوف جده,"عطر GLORY OF JEDDAH هو تجسيد عطري للتاريخ والحضارة، مستوحى من تجارب الحياة ولحظات الضيق والقوة. يأتي هذا العطر على شكل Extrait de Parfum، ويتميز بقلب خشبي عنبري يعرض أرقى أنواع العود بكل فخامة وبهاء. إنه مستوحى من ""Amouage Oud Ulya"".",4650,https://val-mira.com/?post_type=product&p=1000,أثينا|الكل|عطور رجالي,,شتوي,Athena - أثينا,man,خشبي شرقي
SALALAH - صالالة,"عطر SALALAH هو لوحة عطرية تجسد الأصالة والجمال الطبيعي لمدينة صلالة، حيث يمتزج عبق الأرض بنسمات البحر. يبدأ العطر برائحة منعشة كالنسيم، ثم ينتقل إلى قلب غني بالزهور والتوابل الشرقية، ويستقر على قاعدة دافئة من الأخشاب والمسك. إنه عطر عصري وأنيق يعكس سحر الطبيعة ويلامس الحواس، وهو مستوحى من ""Orris Wakan Amouage"".",4650,https://val-mira.com/?post_type=product&p=1001,أثينا|الكل|عطور خشبية,"السوسن، مسك حيواني (غير مشتق من الحيوانات)، خشب الصندل، الشبت",شتوي صيفي,Athena - أثينا,man,حلو
SAFFRAN AL BAHA - زعفران الباحة,"عطر Saffran Al Baha هو عطر فاخر ومميز يعكس جاذبية الشرق بلمسات من الفخامة والتعقيد. يتميز بروائح غنية ودافئة من الزعفران، مع مزيج من التوابل والأخشاب. يتمتع العطر بحضور قوي وعميق بفضل لمسات العنبر والمسك، وهو يناسب الشخصيات القوية والجريئة التي تبحث عن التفرد والر
",4650,https://val-mira.com/?post_type=product&p=1002,أثينا|الكل|عطور رجالي|عطور للجنسين,,شتوي,Athena - أثينا,man,خشبي شرقي
QATAR 22 - قطر 22,"عطر Qatar 22 هو تجسيد للفخامة والرفاهية الشرق أوسطية، حيث يمتزج فيه عبير التوابل الغنية مع نفحات الزهور النادرة ليخلق تجربة عطرية ساحرة تجمع بين الأصالة والحداثة. يبدأ العطر برائحة التوابل المميزة التي تمنحه عمقًا وغموضًا، تليها لمسات من الأزهار الشرقية الناعمة. في النهاية، يستقر العطر على قاعدة من الأخشاب الفاخرة والجلد المترف، مما يترك أثراً قوياً وفاخراً يدوم طويلاً. يعد عطر Qatar 22 الخيار المثالي لمن يسعى لإبراز حضوره بأسلوب راقٍ ومتميز. هذا العطر مستوحى من ""Nishane Shem"".",4650,https://val-mira.com/product/qatar-22/,أثينا|الكل|عطور شرقية|عطور فواحة|عطور رجالي|عطور للجنسين,,صيفي - شتوي,Athena - أثينا,man,خشبي شرقي
CIPHER - سايفر,"عطر Cipher هو سر يفوح بالغموض والجاذبية. يبدأ برائحة منعشة تشبه ضوء الفجر، حيث تتراقص نغمات البرغموت والحمضيات، ثم يتسلل إلى قلبه سحر الياسمين المخملي مع لمسات من التوابل الدافئة. Cipher ليس مجرد عطر، بل هو بصمة خفية تروي قصة من يرتديه، وهو مستوحى من ""Roja Enigma EDP"".",1500,https://val-mira.com/product/cipher/,أثينا|الكل|عطور زهرية|عطور فواحة|عطور رجالي,"الجانب الفاكهي من ""البوزي"" مع نفحات من الورد الطبيعي النقي",شتوي,Athena - أثينا,man,تبغي
MATILDA - ماتيلدا,"عطر Matilda هو تجسيد للرقة في نفحات زهرية حالمة. يبدأ العطر بنفحات مشرقة من زهر البرتقال والخوخ، كإشراقة صباح هادئ. ثم يتسلل القلب برقة، حيث يلتقي البنفسج الحريري بلمسات البابونج الناعمة، ليخلق إحساسًا ساحرًا بالراحة والانسيابية. Matilda هو لمسة ناعمة من الأنوثة والرقي، مستوحى من ""Like this by ELDO"".",1250,https://val-mira.com/?post_type=product&p=1006,أثينا|الكل|عطور رجالي|عطور للجنسين|عطور نسائية,توابل اليقطين المسكية مع أزهار ولمحات من الزنجبيل,صيفي,Athena - أثينا,woman,منعش
HIVE - هايف,"**ملخص وصف عطر Hive:**

عطر Hive هو نفحة من الغموض والعذوبة، يجسد دفء الشمس على خلايا العسل. يفتتح العطر برائحة زهور برية ممزوجة بقطرات من العسل الذهبي، ثم ينكشف القلب عن نفحات راقية من العنبر والتوابل. هذا العطر مستوحى من ""Absolue Pour le Soir MFK"".",1250,https://val-mira.com/?post_type=product&p=1007,أثينا|الكل|عطور رجالي|عطور للجنسين,,شتوي,Athena - أثينا,unisex,منعش
COVALENT -كوڤالينت,"عطر Covalent هو تجسيد للتوازن المثالي بين الفخامة والحداثة. يبدأ بلمسة منعشة من الحمضيات والأعشاب الخضراء، ثم يتناغم في قلبه مع نفحات زهرية دافئة من الورد والياسمين ليخلق شعوراً بالنعومة والجمال. تستقر القاعدة على مزيج غني من الأخشاب والمسك والفانيليا، مما يمنح العطر عمقاً وجاذبية. هذا العطر مستوحى من ""GUCCI ENVY"".",1500,https://val-mira.com/product/covalent/,أثينا|الكل|عطور خشبية|عطور عشبية|عطور بحرية|عطور رجالي,"زنجبيل، بخور، خشب الصندل مع توابل دافئة وتبغ",صيفي,Athena - أثينا,man,منعش
ABHA - أبها,"عطر Abha يعكس جمال الطبيعة والمناطق الجبلية بلمسة من الفخامة والهدوء. يتميز برائحة ناعمة من الزهور البيضاء الطازجة ممزوجة بنفحات خفيفة من الحمضيات المنعشة، مع قلب دافئ من العنبر والمسك، مما يجعله مناسبًا للذين يهدفون للتميز والظهور بين الناس. هذا العطر مستوحى من ""Kingdom of Saudi Arabia Roja"".",4650,https://val-mira.com/product/abha/,أثينا|الكل|عطور رجالي|عطور للجنسين,,شتوي,Athena - أثينا,man,خشبي شرقي
VETIVER - ڤيتيفر,"عطر Vetiver هو مزيج مثالي بين الحمضيات المنعشة وعبق الڤيتيفر الترابي الدافئ. يبدأ العطر بنفحات خفيفة من الحمضيات، ثم يتطور إلى قلب غني من الڤيتيفر والأخشاب مع لمسات خفيفة من التوابل. تترك القاعدة أثراً طبيعياً عميقاً يجمع بين القوة والنعومة، مما يجعله خياراً مميزاً لمن يبحث عن عطر يجسد التوازن بين الفخامة والطبيعة. هذا العطر مستوحى من ""Grey Vetiver EDP"".",1250,https://val-mira.com/?post_type=product&p=1013,أثينا|الكل|عطور رجالي,,شتوي,Athena - أثينا,man,خشبي شرقي
LIDO BLUE - ليدو بلو,"عطر Lido Blue للرجال هو عطر مفعم بالانتعاش والحداثة، يجسد القوة والنقاء في تناغم تام. يبدأ العطر بنفحات حمضية من البرغموت والليمون، مما يضفي عليه بداية مشرقة وحيوية. ثم ينتقل إلى قلبه الذي يضم لمسات من الأعشاب البحرية والخزامى، مما يخلق إحساسًا بالحرية والنقاء كنسيم البحر العليل. هذا العطر مستوحى من ""Bleu De Chanel EDT 2010"".",1500,https://val-mira.com/product/lido-blue/,أثينا|الكل|عطور شرقية|عطور فواحة|عطور رجالي,,صيفي,Athena - أثينا,unisex,منعش
PACIFIC BLUE - باسيفيس بلو,"عطر PACIFIC BLUE هو تجربة فاخرة من الانتعاش والحرية، يجسد الأناقة بلمسة من الحيوية التي تلامس الحواس، وتترك وراءها أثراً من النقاء والقوة. إنه عطر للرجل العصري الذي يقدر الأناقة البسيطة والروح المغامرة، وهو مستوحى من ""Acqua di Gio Profondo"".",1500,https://val-mira.com/product/pacific-blue/,أثينا|الكل|عطور رجالي,رائحة محيط منعشة,صيفي,Athena - أثينا,unisex,منعش
EYES - آيز,"عطر Eyes هو تجسيد للجمال الغامض والجاذبية الراقية. يأخذك في رحلة حسية لا تُنسى، حيث تنبض كل نفحة بالثقة والتأثير، تاركة وراءها أثراً فاخراً من السحر الذي لا يُقاوم. إنه عطر يترك بصمة مميزة ويبقى في الذاكرة، وهو مستوحى من ""Tygar Bvlgari"".",4650,https://val-mira.com/product/eyes/,أثينا|الكل|عطور رجالي,"الزعفران، الجريب فروت، الأمبروكسان، المسك، نجيل الهند، خشب الورد، الليمون",صيفي,Athena - أثينا,man,منعش
GIFTUN BLUE - جيفتون بلو,"عطر Giftun Blue هو رحلة إلى عالم من الصفاء والجاذبية، يجسد روح الحرية والإحساس النقي. يترك هذا العطر بصمة من الأناقة والانتعاش تدوم طويلاً، وبتوازنه المثالي بين الحيوية والعمق، يمنح إحساسًا بالراحة والثقة ليكون الرفيق المثالي في كل لحظة. هذا العطر مستوحى من ""Invictus Aqua 2016"".",1500,https://val-mira.com/product/giftun-blue/,أثينا|الكل|عطور رجالي,,صيفي,Athena - أثينا,man,منعش
NEON ORANGE - نيون أورانج,"عطر Neon Orange هو انفجار من الطاقة والجاذبية، ينبض بالحيوية والإشراق. يضيء الحواس بحضوره الجريء ويترك أثراً مشرقاً لا يُنسى، ليعكس روح الثقة والتميز في كل لحظة. هذا العطر مستوحى من ""A*Men Ultra"".",1500,https://val-mira.com/product/neon-orange/,أثينا|الكل|عطور رجالي,"برتقال الدم، قهوة، نعناع، مالت، قرفة، باتشولي، خشب الأرز، فانيليا، وحبوب التونكا",صيفي - شتوي,Athena - أثينا,man,تبغي
ADONIS - أدونيس,"عطر Adonis يجسد قوة الجاذبية وسحر الحضور، وهو مزيج من الفخامة والغموض يترك أثراً آسراً أينما حل. ينبض هذا العطر بالأناقة والثقة، كأنه قصيدة خالدة ترويها النفحات بكل شغف، ليعكس روح التميز والعظمة ويبقى محفوراً في الذاكرة إلى الأبد. هذا العطر مستوحى من ""Matsukita Cilve Chirstian"".",4650,https://val-mira.com/product/adonis/,أثينا|الكل|عطور رجالي|عطور للجنسين,"خشب الأرز، المسك، بلسم التنوب، البردي  الشاي الأسود، الياسمين، خشب الغاياك جوزة الطيب، الفلفل الوردي، البرغموت",صيفي,Athena - أثينا,unisex,منعش
Tobacco Saray - توباكو ساراي,"عطر Tobacco Saray يعكس فخامة الشرق وسحر الغموض، حيث تتناغم نفحاته برقي لتخلق هالة دافئة وآسرة. يترك هذا العطر أثرًا عميقًا يروي حكاية من الفخامة والجاذبية التي لا تُنسى، وهو مستوحى من ""Tobacco Vanilla TF"".",1250,https://val-mira.com/?post_type=product&p=1020,أثينا|الكل|عطور رجالي,,شتوي,Athena - أثينا,man,خشبي
Alexander - الأكسندر,"عطر Alexander هو الخيار المثالي للحظات الخاصة، حيث يضفي لمسة من الأناقة والجاذبية في كل مناسبة. استخدمه في الأمسيات الراقية أو اللقاءات المهمة ليعكس شخصيتك القوية والجذابة. ينقلك هذا العطر إلى عالم من الفخامة والتفرد، ويترك وراءه أثراً يدوم طوال اليوم، مما يجعل كل لحظة أكثر تميزاً وحضوراً. هذا العطر مستوحى من ""DUBAI NEXT TO ME"".",4650,https://val-mira.com/product/alexander/,أثينا|الكل|عطور رجالي|عطور للجنسين,,صيفي - شتوي,Athena - أثينا,unisex,حلو
King Narmar - كينج نارمار,"عطر King Narmar يجسد جوهر الفخامة والقوة، وهو رحلة عطرية تجمع بين العراقة والحداثة. يفتتح العطر بنفحات منعشة وحيوية من البرغموت، الحمضيات، والتوابل الشرقية، ثم يكشف عن قلب غني بالأخشاب العطرية والزهور النادرة. تستقر القاعدة على عبق المسك والفانيليا، مما يمنح العطر لمسة من الغموض والجاذبية. إنه عطر للملك الذي يعكس شخصية فريدة ويجعل اللحظات أكثر تميزًا.",6250,https://val-mira.com/product/king-narmar/,الكل|نيلافار|عطور رجالي|عطور للجنسين,,شتوي,Nilafar - نيلافار,man,خشبي شرقي
KITHARA - قيثارة,"عطر KITHARA هو سيمفونية عطرية فريدة تلامس الروح، مستوحاة من آلة الكيثارا الموسيقية الكلاسيكية. يبدأ العطر رحلته بنفحات عليا منعشة ومغرية من توت العليق، البرغموت، المربى، زهر النارولي، والمندرين. وفي قلبه، تتعمق التجربة مع نفحات دافئة ومعقدة من التبغ، زهور السوسن، والورد. تستقر القاعدة على مزيج غني ودافئ من حبوب التونكا، الفانيليا، الكهرمان، واللابدانوم.
",6250,https://val-mira.com/product/kithara/,الكل|نيلافار|عطور رجالي|عطور للجنسين|عطور نسائية,,صيفي - شتوي,Nilafar - نيلافار,man,حلو تبغي خشبي
MALISSA - ماليسّا,"عطر MALISSA من دار نيلافار هو تحفة تجسد الأنوثة الحالمة والرقة والجاذبية. تبدأ رحلته العطرية بانتعاش راقٍ يجمع بين التوت المشكل، الكمثرى الحلوة، والرعي الحمام اليوناني. يتفتح قلبه بمزيج زهري ساحر من الورد الدمشقي الفاخر، الياسمين الأبيض الرقيق، وزهور الماغنوليا الناعمة، ليمنح العطر طابعًا أنثويًا راقيًا. تستقر القاعدة على مزيج دافئ ومغري من الفانيليا الكريمية ونعومة المسك الأبيض، مما يضفي على العطر ثباتًا طويلاً ولمسة من الأناقة الخالدة.
",4250,https://val-mira.com/product/malissa/,الكل|نيلافار|عطور نسائية,,صيفي,Nilafar - نيلافار,woman,منعش
MANSA - مانسا,"عطر MANSA من دار نيلافار دو نيل هو قصة عن الأنوثة والرقي، مستوحى من جمال المرأة المرهف وقوتها الناعمة. يفتتح العطر بمزيج فاكهي ناعم من الكمثرى والخوخ، ثم يكشف عن قلب زهري أنيق ورومانسي من الورد والبنفسج. تستقر القاعدة على هالة دافئة ومخملية من المسك والميموزا، مما يمنح العطر ثباتًا وسحرًا يدوم طويلاً.
",4250,https://val-mira.com/product/mansa/,الكل|نيلافار|عطور نسائية,,صيفي,Nilafar - نيلافار,woman,منعش
Narmar - نارمار,"عطر Narmar هو أسطورة من العراقة والفخامة، مستوحى من الملك نارمر، أول من وحد مصر القديمة، وهو يجسد جوهر القوة والحكمة الملكية. يأخذك العطر في رحلة حسية تبدأ بنفحات منعشة من الهيل، العرعر، البرغموت، الخزامى، والمريمية. ثم يتعمق في قلب دافئ وساحر من الشاي الأخضر، القرفة، الورد، الزنبق، والكشميران. تستقر القاعدة على مزيج غني من الكشميران، التبغ الجذاب، التونكا، الطحلب، الجلد المدبوغ، وخشب الأرز، مما يترك أثراً خالداً لا يُنسى.
",5000,https://val-mira.com/product/narmar/,الكل|نيلافار|عطور رجالي,,صيفي,Nilafar - نيلافار,man,منعش
L’Homme Fort Extrait - لوم فورت أكستري,"عطر L’Homme Fort Extrait هو تجسيد للقوة والأناقة، مصمم للرجل الواثق الذي يترك بصمته أينما حل. يتميز هذا العطر بمزيج آسر من النفحات الدافئة والعميقة التي تعكس الجرأة والجاذبية. تبدأ رحلته العطرية بإشراقة حيوية من كريم بروليه، والأناناس الملبس، والمر، ثم تنتقل إلى قلب غني بالتوابل الدافئة من القرفة، والتوفي، والفانيليا. تستقر القاعدة على مزيج فاخر من الهيل، والباتشولي، وحبوب التونكا، والجلود، والعنبر، والأمبروكسان، مما يمنح إحساسًا بالدفء والفخامة التي تدوم لساعات طويلة. إنه الخيار المثالي للرجل الذي يبحث عن عطر يعكس حضوره القوي بأسلوب أنيق ومتقن.",5000,https://val-mira.com/product/lhomme-fort-extrait/,الكل|نيلافار|عطور رجالي|عطور للجنسين,,شتوي صيفي,Nilafar - نيلافار,unisex,حلو
Meidum - ميدوم,"عطر Meidum، المستوحى من أحد أقدم الأهرامات المصرية، يجسد قوة التاريخ وسحر الغموض. يبدأ العطر بنفحات منعشة من البرغموت واليوسفي مع لمسة من الهيل والخزامى والميرمية. يتعمق قلبه مع نوتات القهوة الدافئة وجوزة الطيب، ممزوجة بلمسة معدنية عصرية. وتتجلى الروح الشرقية في القاعدة مع اللبان والمر وعبق الجلود، مما يمنح العطر لمسة رجولية جذابة وثباتًا يدوم طويلاً. إنه عطر للرجل الذي يقدر الفخامة ويبحث عن التميز، حيث يلتقي التاريخ بالفخامة العصرية.",4250,https://val-mira.com/product/meidum/,الكل|نيلافار|عطور رجالي,,صيفي,Nilafar - نيلافار,unisex,منعش
NILUFER - نيلوفير,"عطر نيلوفر من دار نيلافار دو نيل هو تحفة عطرية أبدعها العطار الشهير كريس موريس، وهي تجسد رحلة حسية تجمع بين الانتعاش والدفء والرقي. يبدأ العطر بمقدمة منعشة من النعناع، الشيح، السترون، والبرغموت. وينبض قلبه بمزيج أنيق من الخزامى الهادئ، القرفة الدافئة، إبرة الراعي، والهيليوتروب. وتستقر القاعدة على مزيج غني وفاخر من اللوز، الفانيليا، التونكا، خشب الأرز، المر، مع لمسات جذابة من البندق والمسك.
",6250,https://val-mira.com/product/nilufer/,الكل|نيلافار|عطور رجالي|عطور للجنسين,,شتوي صيفي,Nilafar - نيلافار,man,خشبي حلو
SETI 1 - سيتي,"عطر SETI 1 هو بوابة إلى عالم غامض حيث يلتقي الماضي بالحاضر، مستلهم من رحلة البحث عن العوالم الخفية والحضارات القديمة. يبدأ العطر بمقدمة دافئة وحلوة من البندق المحمص والعنبر الغني مع لمسة من الكراميل. وفي قلبه، يبرز مزيج فاخر من الجلود الناعمة، التوتكا العطري، خشب الصندل الكريمي، مع لمسة حسية من الفانيليا والعسل. تتكشف القاعدة بروائح شرقية غنية تجمع بين العود العميق والزعفران الدافئ، معززة بالباتشولي الترابي ونفحات راقية من الورد والياسمين.
",6250,https://val-mira.com/product/seti-1/,الكل|نيلافار|عطور رجالي|عطور للجنسين,,شتوي صيفي,Nilafar - نيلافار,man,خشبي شرقي
